GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010
"G1301470","Georgia","13","130","Hart County","147","1470",15814,18585,19712,22997,25213,25828,4772,6286,7459,9106,10121
"G1301490","Georgia","13","130","Heard County","149","1490",5354,6520,8628,11012,11834,11412,1628,2204,3093,4043,4400
"G1301510","Georgia","13","130","Henry County","151","1510",23724,36309,58741,119341,203922,240712,6531,11630,20012,41373,70255
"G1301530","Georgia","13","130","Houston County","153","1530",62924,77605,89208,110765,139900,163633,17625,25509,32433,40911,53051
"G1301550","Georgia","13","130","Irwin County","155","1550",8036,8988,8649,9931,9538,9666,2414,3013,3142,3644,3495
"G1301570","Georgia","13","130","Jackson County","157","1570",21093,25343,30005,41589,60485,75907,6476,8619,10721,15057,21343
"G1301590","Georgia","13","130","Jasper County","159","1590",5760,7553,8453,11426,13900,14588,1714,2553,3036,4175,5044
"G1301610","Georgia","13","130","Jeff Davis County","161","1610",9425,11473,12032,12684,15068,14779,2781,3771,4357,4828,5689
"G1301630","Georgia","13","130","Jefferson County","163","1630",17174,18403,17408,17266,16930,15709,4858,5946,6093,6339,6241
"G1301650","Georgia","13","130","Jenkins County","165","1650",8332,8841,8247,8575,8340,8674,2452,2906,2951,3214,3192
"G1301670","Georgia","13","130","Johnson County","167","1670",7727,8660,8329,8560,9980,9189,2304,2955,3010,3130,3347
"G1301690","Georgia","13","130","Jones County","169","1690",12218,16579,20739,23639,28669,28347,3344,5270,7300,8659,10586
"G1301710","Georgia","13","130","Lamar County","171","1710",10688,12215,13038,15912,18317,18500,3109,4010,4669,5712,6618
"G1301730","Georgia","13","130","Lanier County","173","1730",5031,5654,5531,7241,10078,9877,1423,1822,1965,2593,3608
"G1301750","Georgia","13","130","Laurens County","175","1750",32738,36990,39988,44874,48434,49570,9776,12447,14514,17083,18641
"G1301770","Georgia","13","130","Lee County","177","1770",7044,11684,16250,24757,28298,33163,1879,3642,5199,8229,9706
"G1301790","Georgia","13","130","Liberty County","179","1790",17569,37583,52745,61610,63453,65256,4563,9629,15136,19383,22155
"G1301810","Georgia","13","130","Lincoln County","181","1810",5895,6716,7442,8348,7996,7690,1644,2185,2702,3251,3281
"G1301830","Georgia","13","130","Long County","183","1830",3746,4524,6202,10304,14464,16168,1082,1536,2196,3574,5023
"G1301850","Georgia","13","130","Lowndes County","185","1850",55112,67972,75981,92115,109233,118251,15945,22609,26311,32654,39747
"G1301870","Georgia","13","130","Lumpkin County","187","1870",8728,10762,14573,21016,29966,33488,2362,3388,4976,7537,10989
"G1301930","Georgia","13","130","Macon County","193","1930",12933,14003,13114,14074,14740,12082,3474,4371,4388,4834,4999
"G1301950","Georgia","13","130","Madison County","195","1950",13517,17747,21050,25730,28120,30120,4159,6125,7740,9800,10508
"G1301970","Georgia","13","130","Marion County","197","1970",5099,5297,5590,7144,8742,7498,1410,1687,1962,2668,3420
"G1301890","Georgia","13","130","McDuffie County","189","1890",15276,18546,20119,21231,21875,21632,4465,6270,7270,7970,8289
"G1301910","Georgia","13","130","McIntosh County","191","1910",7371,8046,8634,10847,14333,10975,2069,2630,3186,4202,5971
"G1301990","Georgia","13","130","Meriwether County","199","1990",19461,21229,22411,22534,21992,20613,5470,6877,7637,8248,8522
"G1302010","Georgia","13","130","Miller County","201","2010",6397,7038,6280,6383,6125,6000,1919,2405,2336,2487,2426
"G1302050","Georgia","13","130","Mitchell County","205","2050",18956,21114,20275,23932,23498,21755,5343,6486,6798,8063,8055
"G1302070","Georgia","13","130","Monroe County","207","2070",10991,14610,17113,21757,26424,27957,2967,4667,5838,7719,9662
"G1302090","Georgia","13","130","Montgomery County","209","2090",6099,7011,7163,8270,9123,8610,1738,2214,2493,2919,3287
"G1302110","Georgia","13","130","Morgan County","211","2110",9904,11572,12883,15457,17868,20097,2799,3663,4399,5558,6660
"G1302130","Georgia","13","130","Murray County","213","2130",12986,19685,26147,36506,39628,39973,3863,6539,9363,13286,14080
"G1302150","Georgia","13","130","Muscogee County","215","2150",167377,170108,179278,186291,189885,206922,52303,59112,65858,69819,74081
"G1302170","Georgia","13","130","Newton County","217","2170",26282,34489,41808,62001,99958,112483,7603,10976,14401,21997,34390
"G1302190","Georgia","13","130","Oconee County","219","2190",7915,12427,17618,26225,32808,41799,2489,4237,6156,9051,11622
"G1302210","Georgia","13","130","Oglethorpe County","221","2210",7598,8929,9763,12635,14899,14825,2174,2947,3581,4849,5647
"G1302230","Georgia","13","130","Paulding County","223","2230",17520,26110,41611,81678,142324,168661,5188,8745,14326,28089,48105
"G1302250","Georgia","13","130","Peach County","225","2250",15990,19151,21189,23668,27695,27981,4245,6180,7142,8436,9958
"G1302270","Georgia","13","130","Pickens County","227","2270",9620,11652,14432,22983,29431,33216,2934,4161,5386,8960,11291
"G1302290","Georgia","13","130","Pierce County","229","2290",9281,11897,13328,15636,18758,19716,2733,3928,4807,5958,7083
"G1302310","Georgia","13","130","Pike County","231","2310",7316,8937,10224,13688,17869,18889,2079,2842,3526,4755,6187
"G1302330","Georgia","13","130","Polk County","233","2330",29656,32386,33815,38127,41475,42853,9316,11413,12519,14012,15092
"G1302350","Georgia","13","130","Pulaski County","235","2350",8066,8950,8108,9588,12010,9855,2540,3067,3098,3407,4475
"G1302370","Georgia","13","130","Putnam County","237","2370",8394,10295,14137,18812,21218,22047,2300,3398,5229,7402,8601
"G1302390","Georgia","13","130","Quitman County","239","2390",2180,2357,2209,2598,2513,2235,588,772,857,1047,1053
"G1302410","Georgia","13","130","Rabun County","241","2410",8327,10466,11648,15050,16276,16883,2685,3891,4630,6279,6780
"G1302430","Georgia","13","130","Randolph County","243","2430",8734,9599,8023,7791,7719,6425,2623,3126,2815,2909,3187
"G1302450","Georgia","13","130","Richmond County","245","2450",162437,181629,189719,199775,200549,206607,44464,59501,68675,73920,76924
"G1302470","Georgia","13","130","Rockdale County","247","2470",18152,36747,54091,70111,85215,93570,5199,11592,18337,24052,30027
"G1302490","Georgia","13","130","Schley County","249","2490",3097,3433,3588,3766,5010,4547,908,1125,1315,1435,1872
"G1302510","Georgia","13","130","Screven County","251","2510",12591,14043,13842,15374,14593,14067,3749,4769,5048,5797,5596
"G1302530","Georgia","13","130","Seminole County","253","2530",7059,9057,9010,9369,8729,9147,2117,3051,3137,3573,3509
"G1302550","Georgia","13","130","Spalding County","255","2550",39514,47899,54457,58417,64073,67306,12199,16177,19426,21519,23565
"G1302570","Georgia","13","130","Stephens County","257","2570",20331,21763,23257,25435,26175,26784,6459,7787,8949,9951,10289
"G1302590","Georgia","13","130","Stewart County","259","2590",6511,5896,5654,5252,6058,5314,1782,1891,1982,2007,1862
"G1302610","Georgia","13","130","Sumter County","261","2610",26931,29360,30228,33200,32819,29616,7613,9465,10484,12025,12123
"G1302630","Georgia","13","130","Talbot County","263","2630",6625,6536,6524,6498,6865,5733,1737,2086,2345,2538,2832
"G1302650","Georgia","13","130","Taliaferro County","265","2650",2423,2032,1915,2077,1717,1559,761,758,727,870,759
"G1302670","Georgia","13","130","Tattnall County","267","2670",16557,18134,17722,22305,25520,22842,4224,5590,5845,7057,8210
"G1302690","Georgia","13","130","Taylor County","269","2690",7865,7902,7642,8815,8906,7816,2268,2653,2804,3281,3522
"G1302710","Georgia","13","130","Telfair County","271","2710",11381,11445,11000,11794,16500,12477,3401,3907,4017,4140,5543
"G1302730","Georgia","13","130","Terrell County","273","2730",11416,12017,10653,10970,9315,9185,3256,3839,3738,4002,3519
"G1302750","Georgia","13","130","Thomas County","275","2750",34515,38098,38986,42737,44720,45798,10112,12789,14323,16309,17573
"G1302770","Georgia","13","130","Tift County","277","2770",27288,32862,34998,38407,40118,41344,7877,10737,12184,13919,14836
"G1302790","Georgia","13","130","Toombs County","279","2790",19151,22592,24072,26067,27223,27030,5761,7672,8804,9877,10375
"G1302810","Georgia","13","130","Towns County","281","2810",4565,5638,6754,9319,10471,12493,1411,2024,2812,3998,4510
"G1302830","Georgia","13","130","Treutlen County","283","2830",5647,6087,5994,6854,6885,6406,1683,2073,2158,2531,2543
"G1302850","Georgia","13","130","Troup County","285","2850",44466,50003,55536,58779,67044,69426,14012,17455,20371,21920,24828
"G1302870","Georgia","13","130","Turner County","287","2870",8790,9510,8703,9504,8930,9006,2611,3078,3043,3435,3339
"G1302890","Georgia","13","130","Twiggs County","289","2890",8222,9354,9806,10590,9023,8022,2081,2812,3296,3832,3634
"G1302910","Georgia","13","130","Union County","291","2910",6811,9390,11993,17289,21356,24632,2174,3369,4709,7159,9116
"G1302930","Georgia","13","130","Upson County","293","2930",23505,25998,26300,27597,27153,27700,7382,9170,9911,10722,10716
"G1302950","Georgia","13","130","Walker County","295","2950",50691,56470,58340,61053,68756,67654,15636,19634,21697,23605,26497
"G1302970","Georgia","13","130","Walton County","297","2970",23404,31211,38586,60687,83768,96673,6741,10006,13433,21307,29583
"G1302990","Georgia","13","130","Ware County","299","2990",33525,37180,35471,35483,36312,36251,10390,12788,13046,13475,13654
"G1303010","Georgia","13","130","Warren County","301","3010",6669,6583,6078,6336,5834,5215,1789,2110,2130,2435,2315
"G1303030","Georgia","13","130","Washington County","303","3030",17480,18842,19112,21176,21187,19988,5010,6076,6739,7435,7547
"G1303050","Georgia","13","130","Wayne County","305","3050",17858,20750,22356,26565,30099,30144,5273,6879,7922,9324,10562
"G1303070","Georgia","13","130","Webster County","307","3070",2362,2341,2263,2390,2799,2348,641,756,798,911,1119
"G1303090","Georgia","13","130","Wheeler County","309","3090",4596,5155,4903,6179,7421,7471,1385,1733,1786,2011,2152
"G1303110","Georgia","13","130","White County","311","3110",7742,10120,13006,19944,27144,28003,2345,3499,4907,7731,10646
"G1303130","Georgia","13","130","Whitfield County","313","3130",55108,65789,72462,83525,102599,102864,16611,22466,26859,29385,35180
"G1303150","Georgia","13","130","Wilcox County","315","3150",6998,7682,7008,8577,9255,8766,2147,2596,2511,2785,2891
"G1303170","Georgia","13","130","Wilkes County","317","3170",10184,10951,10597,10687,10593,9565,3195,3880,4022,4314,4263
"G1303190","Georgia","13","130","Wilkinson County","319","3190",9393,10368,10228,10220,9563,8877,2702,3350,3619,3827,3666
"G1303210","Georgia","13","130","Worth County","321","3210",14770,18064,19745,21967,21679,20784,4224,5811,6895,8106,8214
"G1500010","Hawaii","15","150","Hawaii County","001","0010",63468,92053,120317,148677,185079,200629,17260,29237,41461,52985,67096
"G1500030","Hawaii","15","150","Honolulu County","003","0030",629176,762565,836231,876156,953207,1016508,164763,230214,265304,286450,311047
"G1500050","Hawaii","15","150","Kalawao County","005","0050",,144,130,147,90,82,,71,62,115,69
"G1500070","Hawaii","15","150","Kauai County","007","0070",29761,39082,51177,58463,67091,73298,8282,12020,16295,20183,23240
"G1500090","Hawaii","15","150","Maui County","009","0090",46156,70847,100374,128094,154834,164754,12783,22510,33145,43507,53886
"G1600010","Idaho","16","160","Ada County","001","0010",112230,173036,205775,300904,392365,494967,35834,63139,77471,113408,148445
"G1600030","Idaho","16","160","Adams County","003","0030",2877,3347,3254,3476,3976,4379,944,1212,1251,1421,1748
"G1600050","Idaho","16","160","Bannock County","005","0050",52200,65421,66026,75565,82839,87018,15610,22489,23412,27192,30682
"G1600070","Idaho","16","160","Bear Lake County","007","0070",5801,6931,6084,6411,5986,6372,1791,2211,2005,2259,2281
"G1600090","Idaho","16","160","Benewah County","009","0090",6230,8292,7937,9171,9285,9530,2053,2932,2991,3580,3837
"G1600110","Idaho","16","160","Bingham County","011","0110",29167,36489,37583,41735,45607,47992,7770,10772,11513,13317,14999
"G1600130","Idaho","16","160","Blaine County","013","0130",5749,9841,13552,18991,21376,24272,1977,3978,5506,7780,8823
"G1600150","Idaho","16","160","Boise County","015","0150",1763,2999,3509,6670,7028,7610,596,1107,1357,2616,2974
"G1600170","Idaho","16","160","Bonner County","017","0170",15560,24163,26622,36835,40877,47110,5146,8814,10269,14693,17100
"G1600190","Idaho","16","160","Bonneville County","019","0190",51250,65980,72207,82522,104234,123964,14617,21307,24289,28753,36629
"G1600210","Idaho","16","160","Boundary County","021","0210",6371,7289,8332,9871,10972,12056,1999,2479,2857,3707,4421
"G1600230","Idaho","16","160","Butte County","023","0230",2925,3342,2918,2899,2891,2574,848,1072,997,1089,1129
"G1600250","Idaho","16","160","Camas County","025","0250",728,818,727,991,1117,1077,239,291,275,396,487
"G1600270","Idaho","16","160","Canyon County","027","0270",61288,83756,90076,131441,188923,231105,19238,28458,31288,45018,63604
"G1600290","Idaho","16","160","Caribou County","029","0290",6534,8695,6963,7304,6963,7027,1837,2674,2262,2560,2606
"G1600310","Idaho","16","160","Cassia County","031","0310",17017,19427,19532,21416,22952,24655,4936,6119,6373,7060,7666
"G1600330","Idaho","16","160","Clark County","033","0330",741,798,762,1022,982,790,218,262,277,340,345
"G1600350","Idaho","16","160","Clearwater County","035","0350",10871,10390,8505,8930,8761,8734,3350,3636,3213,3456,3660
"G1600370","Idaho","16","160","Custer County","037","0370",2967,3385,4133,4342,4368,4275,952,1237,1561,1770,1936
"G1600390","Idaho","16","160","Elmore County","039","0390",17479,21565,21205,29130,27038,28666,4758,6832,7136,9092,10140
"G1600410","Idaho","16","160","Franklin County","041","0410",7373,8895,9232,11329,12786,14194,2182,2662,2824,3476,4079
"G1600430","Idaho","16","160","Fremont County","043","0430",8710,10813,10937,11819,13242,13388,2487,3277,3453,3885,4436
"G1600450","Idaho","16","160","Gem County","045","0450",9387,11972,11844,15181,16719,19123,2993,4219,4424,5539,6495
"G1600470","Idaho","16","160","Gooding County","047","0470",8645,11874,11633,14155,15464,15598,2818,4143,4320,5046,5531
"G1600490","Idaho","16","160","Idaho County","049","0490",12891,14769,13783,15511,16267,16541,3845,5150,5187,6084,6834
"G1600510","Idaho","16","160","Jefferson County","051","0510",11619,15304,16543,19155,26140,30891,3201,4437,4871,5901,8146
"G1600530","Idaho","16","160","Jerome County","053","0530",10253,14840,15138,18342,22374,24237,3289,5084,5325,6298,7540
"G1600550","Idaho","16","160","Kootenai County","055","0550",35332,59770,69795,108685,138494,171362,11561,21404,26942,41308,54200
"G1600570","Idaho","16","160","Latah County","057","0570",24891,28749,30617,34935,37244,39517,7676,10256,11229,13059,14708
"G1600590","Idaho","16","160","Lemhi County","059","0590",5566,7460,6899,7806,7936,7974,1823,2681,2769,3275,3576
"G1600610","Idaho","16","160","Lewis County","061","0610",3867,4118,3516,3747,3821,3533,1246,1510,1393,1554,1657
"G1600630","Idaho","16","160","Lincoln County","063","0630",3057,3436,3308,4044,5208,5127,936,1185,1191,1447,1705
"G1600650","Idaho","16","160","Madison County","065","0650",13452,19480,23674,27467,37536,52913,2952,5009,5801,7129,10611
"G1600670","Idaho","16","160","Minidoka County","067","0670",15731,19718,19361,20174,20069,21613,4428,6192,6472,6973,7170
"G1600690","Idaho","16","160","Nez Perce County","069","0690",30376,33220,33754,37410,39265,42090,9973,12490,13618,15286,16241
"G1600710","Idaho","16","160","Oneida County","071","0710",2864,3258,3492,4125,4286,4564,955,1094,1159,1430,1545
"G1600730","Idaho","16","160","Owyhee County","073","0730",6422,8272,8392,10644,11526,11913,1872,2646,2820,3710,4076
"G1600750","Idaho","16","160","Payette County","075","0750",12401,15722,16434,20578,22623,25386,4145,5576,6040,7371,8262
"G1600770","Idaho","16","160","Power County","077","0770",4864,6844,7086,7538,7817,7878,1428,2195,2370,2560,2641
"G1600790","Idaho","16","160","Shoshone County","079","0790",19718,19226,13931,13771,12765,13169,6340,6870,5691,5906,5605
"G1600810","Idaho","16","160","Teton County","081","0810",2351,2897,3439,5999,10170,11630,650,891,1123,2078,3651
"G1600830","Idaho","16","160","Twin Falls County","083","0830",41807,52927,53580,64284,77230,90046,13717,18888,19737,23853,28760
"G1600850","Idaho","16","160","Valley County","085","0850",3609,5604,6109,7651,9862,11746,1150,2063,2404,3208,4393
"G1600870","Idaho","16","160","Washington County","087","0870",7633,8803,8550,9977,10198,10500,2580,3164,3257,3762,4034
"G1700010","Illinois","17","170","Adams County","001","0010",70861,71622,66090,68277,67103,65737,23105,26423,25515,26860,27375
"G1700030","Illinois","17","170","Alexander County","003","0030",12015,12264,10626,9590,8238,5240,4348,4754,4234,3808,3329
"G1700050","Illinois","17","170","Bond County","005","0050",14012,16224,14991,17633,17768,16725,4581,5839,5652,6155,6427
"G1700070","Illinois","17","170","Boone County","007","0070",25440,28630,30806,41786,54165,53448,7778,9714,10950,14597,18505
"G1700090","Illinois","17","170","Brown County","009","0090",5586,5411,5836,6950,6937,6244,1947,2099,1991,2108,2099
"G1700110","Illinois","17","170","Bureau County","011","0110",38541,39114,35688,35503,34978,33244,12525,14252,13790,14182,14262
"G1700130","Illinois","17","170","Calhoun County","013","0130",5675,5867,5322,5084,5089,4437,1894,2094,2048,2046,2085
"G1700150","Illinois","17","170","Carroll County","015","0150",19276,18779,16805,16674,15387,15702,6360,6960,6638,6794,6622
"G1700170","Illinois","17","170","Cass County","017","0170",14219,15084,13437,13695,13642,13042,4832,5658,5195,5347,5270
"G1700190","Illinois","17","170","Champaign County","019","0190",163281,168392,173025,179669,201081,205865,47361,58405,63900,70597,80665
"G1700210","Illinois","17","170","Christian County","021","0210",35948,36446,34418,35372,34800,34032,12108,13685,13591,13921,14055
"G1700230","Illinois","17","170","Clark County","023","0230",16216,16913,15921,17008,16335,15455,5699,6485,6394,6971,6782
"G1700250","Illinois","17","170","Clay County","025","0250",14735,15283,14460,14560,13815,13288,5168,5800,5708,5839,5697
"G1700270","Illinois","17","170","Clinton County","027","0270",28315,32617,33944,35535,37762,36899,7987,10768,11583,12754,14005
"G1700290","Illinois","17","170","Coles County","029","0290",47815,52260,51644,53196,53873,46863,15240,18617,18957,21043,21463
"G1700310","Illinois","17","170","Cook County","031","0310",5492369,5253655,5105067,5376741,5194675,5275541,1766035,1879117,1879488,1974181,1966356
"G1700330","Illinois","17","170","Crawford County","033","0330",19824,20818,19464,20452,19817,18679,7124,8050,7792,7842,7763
"G1700350","Illinois","17","170","Cumberland County","035","0350",9772,11062,10670,11253,11048,10450,3221,4001,4029,4368,4377
"G1700390","Illinois","17","170","De Witt County","039","0390",16975,18108,16516,16798,16561,15516,5857,6841,6488,6770,6811
"G1700370","Illinois","17","170","DeKalb County","037","0370",71654,74624,77932,88969,105160,100420,19646,24353,26413,31674,38484
"G1700410","Illinois","17","170","Douglas County","041","0410",18997,19774,19464,19922,19980,19740,6185,7195,7206,7574,7720
"G1700430","Illinois","17","170","DuPage County","043","0430",491882,658835,781666,904161,916924,932877,136251,222014,279344,325601,337132
"G1700450","Illinois","17","170","Edgar County","045","0450",21591,21725,19595,19704,18576,16866,7566,8332,7859,7874,7839
"G1700470","Illinois","17","170","Edwards County","047","0470",7090,7961,7440,6971,6721,6245,2571,3106,3016,2905,2840
"G1700490","Illinois","17","170","Effingham County","049","0490",24608,30944,31704,34264,34242,34668,7584,10637,11465,13001,13515
"G1700510","Illinois","17","170","Fayette County","051","0510",20752,22167,20893,21802,22140,21488,6835,7987,7719,8146,8311
"G1700530","Illinois","17","170","Ford County","053","0530",16382,15265,14275,14241,14081,13534,5402,5739,5602,5639,5676
"G1700550","Illinois","17","170","Franklin County","055","0550",38329,43201,40319,39018,39561,37804,14356,16978,16564,16408,16617
"G1700570","Illinois","17","170","Fulton County","057","0570",41890,43687,38080,38250,37069,33609,14403,16274,14893,14877,14536
"G1700590","Illinois","17","170","Gallatin County","059","0590",7418,7590,6909,6445,5589,4946,2545,2828,2784,2726,2403
"G1700610","Illinois","17","170","Greene County","061","0610",17014,16661,15317,14761,13886,11985,5783,6193,5910,5757,5570
"G1700630","Illinois","17","170","Grundy County","063","0630",26535,30582,32337,37535,50063,52533,8317,10770,11979,14293,18546
"G1700650","Illinois","17","170","Hamilton County","065","0650",8665,9172,8499,8621,8457,7993,3183,3641,3476,3462,3489
"G1700670","Illinois","17","170","Hancock County","067","0670",23645,23877,21373,20121,19104,17620,7907,8876,8409,8069,8040
"G1700690","Illinois","17","170","Hardin County","069","0690",4914,5383,5189,4800,4320,3649,1762,2080,2049,1987,1915
"G1700710","Illinois","17","170","Henderson County","071","0710",8451,9114,8096,8213,7331,6387,2800,3376,3237,3365,3149
"G1700730","Illinois","17","170","Henry County","073","0730",53217,57968,51159,51020,50486,49284,17226,20527,19514,20056,20373
"G1700750","Illinois","17","170","Iroquois County","075","0750",33532,32976,30787,31334,29718,27077,10886,12060,11788,12220,11956
"G1700770","Illinois","17","170","Jackson County","077","0770",55008,61522,61067,59612,60218,52974,16143,22558,23466,24215,25538
"G1700790","Illinois","17","170","Jasper County","079","0790",10741,11318,10609,10117,9698,9287,3458,4000,3962,3930,3940
"G1700810","Illinois","17","170","Jefferson County","081","0810",31446,36552,37020,40045,38827,37113,10806,13963,14606,15374,15365
"G1700830","Illinois","17","170","Jersey County","083","0830",18492,20538,20539,21668,22985,21512,5546,6817,7344,8096,8828
"G1700850","Illinois","17","170","Jo Daviess County","085","0850",21766,23520,21821,22289,22678,22035,6724,8328,8371,9218,9753
"G1700870","Illinois","17","170","Johnson County","087","0870",7550,9624,11347,12878,12582,13308,2558,3302,3725,4183,4584
"G1700890","Illinois","17","170","Kane County","089","0890",251005,278405,317471,404119,515269,516522,74642,93729,107176,133901,170479
"G1700910","Illinois","17","170","Kankakee County","091","0910",97250,102926,96255,103833,113449,107502,27942,34930,34623,38182,41511
"G1700930","Illinois","17","170","Kendall County","093","0930",26374,37202,39413,54544,114736,131869,7485,12042,13301,18798,38022
"G1700950","Illinois","17","170","Knox County","095","0950",61280,61607,56393,55836,52919,49967,20081,22837,21909,22056,21535
"G1700970","Illinois","17","170","Lake County","097","0970",382638,440372,516418,644356,703462,714342,102947,139715,173966,216297,241712
"G1700990","Illinois","17","170","LaSalle County","099","0990",111409,112033,106913,111509,113924,109658,35767,40970,41284,43417,45347
"G1701010","Illinois","17","170","Lawrence County","101","1010",17522,17807,15972,15452,16833,15280,5993,6754,6320,6309,6130
"G1701030","Illinois","17","170","Lee County","103","1030",37947,36328,34392,36062,36031,34145,10940,12649,12475,13253,13758
"G1701050","Illinois","17","170","Livingston County","105","1050",40690,41381,39301,39678,38950,35815,12426,14077,13737,14374,14613
"G1701070","Illinois","17","170","Logan County","107","1070",33538,31802,30798,31183,30305,27987,10099,11290,11033,11113,11070
"G1701150","Illinois","17","170","Macon County","115","1150",125010,131375,117206,114706,110768,103998,40808,48294,45996,46561,45855
"G1701170","Illinois","17","170","Macoupin County","117","1170",44557,49384,47679,49019,47765,44967,14920,18167,18176,19253,19381
"G1701190","Illinois","17","170","Madison County","119","1190",250934,247691,249238,258941,269282,265859,78470,89006,94857,101953,108094
"G1701210","Illinois","17","170","Marion County","121","1210",38986,43523,41561,41691,39437,37729,13502,16437,16272,16619,16148
"G1701230","Illinois","17","170","Marshall County","123","1230",13302,14479,12846,13180,12640,11742,4358,5178,4900,5225,5161
"G1701250","Illinois","17","170","Mason County","125","1250",16161,19492,16269,16038,14666,13086,5637,7210,6342,6389,6079
"G1701270","Illinois","17","170","Massac County","127","1270",13889,14990,14752,15161,15429,14169,4889,5731,5908,6261,6362
"G1701090","Illinois","17","170","McDonough County","109","1090",36653,37467,35244,32913,32612,27238,10265,12523,12255,12360,13057
"G1701110","Illinois","17","170","McHenry County","111","1110",111555,147897,183241,260077,308760,310229,33083,49078,62940,89403,109199
"G1701130","Illinois","17","170","McLean County","113","1130",104389,119149,129180,150433,169572,170954,31874,41702,46796,56746,65104
"G1701290","Illinois","17","170","Menard County","129","1290",9685,11700,11164,12486,12705,12297,3252,4197,4199,4873,5140
"G1701310","Illinois","17","170","Mercer County","131","1310",17294,19286,17290,16957,16434,15699,5572,6786,6572,6624,6734
"G1701330","Illinois","17","170","Monroe County","133","1330",18831,20117,22422,27619,32957,34962,5757,7013,8189,10275,12589
"G1701350","Illinois","17","170","Montgomery County","135","1350",30260,31686,30728,30652,30104,28288,10362,11963,11480,11507,11652
"G1701370","Illinois","17","170","Morgan County","137","1370",36174,37502,36397,36616,35547,32915,11368,13623,13678,14039,14104
"G1701390","Illinois","17","170","Moultrie County","139","1390",13263,14546,13930,14287,14846,14526,4234,5148,5122,5405,5758
"G1701410","Illinois","17","170","Ogle County","141","1410",42867,46338,45957,51032,53497,51788,13454,16311,17132,19278,20856
"G1701430","Illinois","17","170","Peoria County","143","1430",195318,200466,182827,183433,186494,181830,63323,73329,70797,72733,75793
"G1701450","Illinois","17","170","Perry County","145","1450",19757,21714,21412,23094,22350,20945,6849,8137,8306,8504,8335
"G1701470","Illinois","17","170","Piatt County","147","1470",15509,16581,15548,16365,16729,16673,5108,5939,5934,6475,6782
"G1701490","Illinois","17","170","Pike County","149","1490",19185,18896,17577,17384,16430,14739,6762,7319,7016,6876,6639
"G1701510","Illinois","17","170","Pope County","151","1510",3857,4404,4373,4413,4470,3763,1296,1549,1611,1769,1829
"G1701530","Illinois","17","170","Pulaski County","153","1530",8741,8840,7523,7348,6161,5193,2992,3310,2957,2893,2642
"G1701550","Illinois","17","170","Putnam County","155","1550",5007,6085,5730,6086,6006,5637,1637,2155,2204,2415,2509
"G1701570","Illinois","17","170","Randolph County","157","1570",31379,35652,34583,33893,33476,30163,9553,11833,11949,12084,12314
"G1701590","Illinois","17","170","Richland County","159","1590",16829,17587,16545,16149,16233,15813,5592,6721,6503,6660,6726
"G1701610","Illinois","17","170","Rock Island County","161","1610",166734,165968,148723,149374,147546,144672,53587,61052,59317,60712,61303
"G1701650","Illinois","17","170","Saline County","165","1650",25721,28448,26551,26733,24913,23768,9550,11250,10839,10992,10379
"G1701670","Illinois","17","170","Sangamon County","167","1670",161335,176089,178386,188951,197465,196343,54374,68022,72146,78722,82986
"G1701690","Illinois","17","170","Schuyler County","169","1690",8135,8365,7498,7189,7544,6902,2840,3182,3002,2975,3040
"G1701710","Illinois","17","170","Scott County","171","1710",6096,6142,5644,5537,5355,4949,2070,2302,2190,2222,2214
"G1701730","Illinois","17","170","Shelby County","173","1730",22589,23923,22261,22893,22363,20990,7513,8707,8563,9056,9216
"G1701630","Illinois","17","170","St. Clair County","163","1630",285176,267531,262852,256082,270056,257400,86347,90980,95333,96810,105045
"G1701750","Illinois","17","170","Stark County","175","1750",7510,7389,6534,6332,5994,5400,2472,2653,2512,2525,2425
"G1701770","Illinois","17","170","Stephenson County","177","1770",48861,49536,48052,48979,47711,44630,15931,18439,18920,19785,19845
"G1701790","Illinois","17","170","Tazewell County","179","1790",118649,132078,123692,128485,135394,131343,36474,46383,47171,50327,54146
"G1701810","Illinois","17","170","Union County","181","1810",16071,17765,17619,18293,17808,17244,5442,6647,6838,7290,7167
"G1701830","Illinois","17","170","Vermilion County","183","1830",97047,95222,88257,83919,81625,74188,32040,35371,34072,33406,32655
"G1701850","Illinois","17","170","Wabash County","185","1850",12841,13713,13111,12937,11947,11361,4390,5160,5032,5192,5012
"G1701870","Illinois","17","170","Warren County","187","1870",21595,21943,19181,18735,17707,16835,6938,7887,7393,7166,6918
"G1701890","Illinois","17","170","Washington County","189","1890",13780,15472,14965,15148,14716,13761,4707,5606,5658,5848,5926
"G1701910","Illinois","17","170","Wayne County","191","1910",17004,18059,17241,17151,16760,16179,6058,6979,6935,7143,7102
"G1701930","Illinois","17","170","White County","193","1930",17312,17864,16522,15371,14665,13877,6197,7047,6845,6534,6313
"G1701950","Illinois","17","170","Whiteside County","195","1950",62877,65970,60186,60653,58498,55691,19363,23200,22740,23684,23740
"G1701970","Illinois","17","170","Will County","197","1970",249498,324460,357313,502266,677560,696355,70688,103071,116933,167542,225256
"G1701990","Illinois","17","170","Williamson County","199","1990",49021,56538,57733,61296,66357,67153,17252,21825,23120,25358,27421
