GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010
"G0101030","Alabama","01","010","Morgan County","103","1030",77306,90231,100043,111064,119490,123421,23520,31369,37799,43602,47030
"G0101050","Alabama","01","010","Perry County","105","1050",15388,15012,12759,11861,10591,8511,4192,4595,4201,4333,3947
"G0101070","Alabama","01","010","Pickens County","107","1070",20326,21481,20699,20949,19746,19123,5946,6997,7568,8086,8012
"G0101090","Alabama","01","010","Pike County","109","1090",25038,28050,27595,29605,32899,33009,7445,9525,10314,11933,13210
"G0101110","Alabama","01","010","Randolph County","111","1110",18331,20075,19881,22380,22913,21967,5887,7045,7553,8642,9164
"G0101130","Alabama","01","010","Russell County","113","1130",45394,47356,46860,49756,52947,59183,13058,16252,17499,19741,21229
"G0101170","Alabama","01","010","Shelby County","117","1170",38037,66298,99358,143293,195085,223024,11125,21817,35985,54631,74072
"G0101150","Alabama","01","010","St. Clair County","115","1150",27956,41205,50009,64742,83593,91103,8312,13850,17666,24143,31624
"G0101190","Alabama","01","010","Sumter County","119","1190",16974,16908,16174,14798,13763,12345,4660,5253,5545,5708,5629
"G0101210","Alabama","01","010","Talladega County","121","1210",65280,73826,74107,80321,82291,82149,18861,24061,26448,30674,31890
"G0101230","Alabama","01","010","Tallapoosa County","123","1230",33840,38676,38826,41475,41616,41311,10458,13275,14700,16656,16985
"G0101250","Alabama","01","010","Tuscaloosa County","125","1250",116029,137541,150522,164875,194656,227036,32916,46820,55354,64517,76141
"G0101270","Alabama","01","010","Walker County","127","1270",56246,68660,67670,70713,67023,65342,17697,23817,25554,28364,26571
"G0101290","Alabama","01","010","Washington County","129","1290",16241,16821,16694,18097,17581,15388,4346,5272,5709,6705,6758
"G0101310","Alabama","01","010","Wilcox County","131","1310",16303,14755,13568,13183,11670,10600,4211,4362,4415,4776,4484
"G0101330","Alabama","01","010","Winston County","133","1330",16654,21953,22053,24843,24484,23540,5378,7718,8544,10107,10163
"G0200100","Alaska","02","020","Aleutian Islands","010","0100",8057,7768,,,,,1225,1598,,,
"G0200130","Alaska","02","020","Aleutians East Borough","013","0130",,,2464,2697,3141,3420,,,533,526,553
"G0200160","Alaska","02","020","Aleutians West Census Area","016","0160",,,9478,5465,5561,5232,,,1845,1270,1212
"G0200200","Alaska","02","020","Anchorage Municipality","020","0200",124542,174431,226338,260283,291826,291247,34988,60470,82702,94822,107332
"G0200300","Alaska","02","020","Angoon","030","0300",503,,,,,,134,,,,
"G0200400","Alaska","02","020","Barrow","040","0400",2663,,,,,,463,,,,
"G0200500","Alaska","02","020","Bethel Census Area","050","0500",7579,10999,13656,16006,17013,18666,1435,2684,3605,4226,4651
"G0200600","Alaska","02","020","Bristol Bay Borough","060","0600",1147,1094,1410,1258,997,844,192,246,407,490,423
"G0200620","Alaska","02","020","Bristol Bay Division","062","0620",3485,,,,,,724,,,,
"G0200630","Alaska","02","020","Chugach Census Area","063","0630",,,,,,7102,,,,,
"G0200660","Alaska","02","020","Copper River Census Area","066","0660",,,,,,2617,,,,,
"G0200800","Alaska","02","020","Cordova-McCarthy","080","0800",1857,,,,,,591,,,,
"G0200680","Alaska","02","020","Denali Borough","068","0680",,,,1893,1826,1619,,,,785,806
"G0200700","Alaska","02","020","Dillingham Census Area","070","0700",,4616,4012,4922,4847,4857,,1214,1215,1529,1563
"G0200900","Alaska","02","020","Fairbanks North Star Borough","090","0900",45864,53983,77720,82840,97581,95655,11590,18224,26693,29777,36441
"G0201000","Alaska","02","020","Haines Borough","100","1000",1504,1680,2117,2392,2508,2080,424,572,791,991,1149
"G0201050","Alaska","02","020","Hoonah-Angoon Census Area","105","1050",,,,,2150,2365,,,,,913
"G0201100","Alaska","02","020","Juneau City and Borough","110","1100",13556,19528,26751,30711,31275,32255,4223,7035,9902,11543,12187
"G0201220","Alaska","02","020","Kenai Peninsula Borough","122","1220",,25282,40802,49691,55400,58799,,8546,14250,18438,22161
"G0201200","Alaska","02","020","Kenai-Cook Inlet","120","1200",14250,,,,,,3889,,,,
"G0201300","Alaska","02","020","Ketchikan Gateway Borough","130","1300",10041,11316,13828,14070,13477,13948,3006,3985,5030,5399,5305
"G0201400","Alaska","02","020","Kobuk","140","1400",4434,4831,,,,,814,1140,,,
"G0201500","Alaska","02","020","Kodiak Island Borough","150","1500",9409,9939,13309,13913,13592,13101,2384,3027,4083,4424,4630
"G0201580","Alaska","02","020","Kusilvak Census Area","158","1580",,,,,,8368,,,,,
"G0201600","Alaska","02","020","Kuskokwim","160","1600",2306,,,,,,463,,,,
"G0201640","Alaska","02","020","Lake and Peninsula Borough","164","1640",,,1668,1823,1631,1476,,,509,588,553
"G0201700","Alaska","02","020","Matanuska-Susitna Borough","170","1700",6509,17816,39683,59322,88995,107081,1841,5699,13394,20556,31824
