GEO_ID,Geographic Area Name,Count Total population,Count Total housing units,Count Occupied housing units,Count Vacant housing units,Count Owner-occupied housing units,Percent Total housing units,Percent Occupied housing units,Percent Vacant housing units,Percent!!HOUSING TENURE!!Occupied housing units,Percen Owner-occupied housing units among Occupied housing units,Percent Renter-occupied housing units among Occupied housing units
US49003,"Box Elder County, Utah",57666,19517,18678,839,14543,100,95.7,4.3,100,77.9,22.1
US49005,"Cache County, Utah",133154,43774,41658,2116,26427,100,95.2,4.8,100,63.4,36.6
US49007,"Carbon County, Utah",20412,9579,7950,1629,5665,100,83,17,100,71.3,28.7
US49009,"Daggett County, Utah",935,1138,392,746,323,100,34.4,65.6,100,82.4,17.6
US49011,"Davis County, Utah",362679,115217,111552,3665,84985,100,96.8,3.2,100,76.2,23.8
US49013,"Duchesne County, Utah",19596,8725,6511,2214,5124,100,74.6,25.4,100,78.7,21.3
US49015,"Emery County, Utah",9825,4069,3535,534,2833,100,86.9,13.1,100,80.1,19.9
US49017,"Garfield County, Utah",5083,3501,1881,1620,1504,100,53.7,46.3,100,80,20
US49019,"Grand County, Utah",9669,5192,4006,1186,2632,100,77.2,22.8,100,65.7,34.3
US49021,"Iron County, Utah",57289,21752,18731,3021,12133,100,86.1,13.9,100,64.8,35.2
US49023,"Juab County, Utah",11786,3816,3529,287,2862,100,92.5,7.5,100,81.1,18.9
US49025,"Kane County, Utah",7667,6004,3081,2923,2409,100,51.3,48.7,100,78.2,21.8
US49027,"Millard County, Utah",12975,4907,4299,608,3385,100,87.6,12.4,100,78.7,21.3
US49029,"Morgan County, Utah",12295,3703,3574,129,3176,100,96.5,3.5,100,88.9,11.1
US49031,"Piute County, Utah",1438,848,536,312,445,100,63.2,36.8,100,83,17
US49033,"Rich County, Utah",2510,3100,886,2214,710,100,28.6,71.4,100,80.1,19.9
US49035,"Salt Lake County, Utah",1185238,428279,405229,23050,259912,100,94.6,5.4,100,64.1,35.9
US49037,"San Juan County, Utah",14518,5489,4649,840,3708,100,84.7,15.3,100,79.8,20.2
US49039,"Sanpete County, Utah",28437,10237,8394,1843,6473,100,82,18,100,77.1,22.9
US49041,"Sevier County, Utah",21522,8517,7464,1053,5752,100,87.6,12.4,100,77.1,22.9
US49043,"Summit County, Utah",42357,25674,15688,9986,12186,100,61.1,38.9,100,77.7,22.3
US49045,"Tooele County, Utah",72698,23002,22087,915,17970,100,96,4,100,81.4,18.6
US49047,"Uintah County, Utah",35620,13657,11993,1664,8626,100,87.8,12.2,100,71.9,28.1
US49049,"Utah County, Utah",659399,192570,184558,8012,124353,100,95.8,4.2,100,67.4,32.6
US49051,"Wasatch County, Utah",34788,14462,11040,3422,8421,100,76.3,23.7,100,76.3,23.7
US49053,"Washington County, Utah",180279,74530,62416,12114,45539,100,83.7,16.3,100,73,27
US49055,"Wayne County, Utah",2486,1678,1064,614,814,100,63.4,36.6,100,76.5,23.5
US49057,"Weber County, Utah",262223,95614,89595,6019,64756,100,93.7,6.3,100,72.3,27.7
US50001,"Addison County, Vermont",37363,17385,14906,2479,11196,100,85.7,14.3,100,75.1,24.9
US50003,"Bennington County, Vermont",37347,20815,15699,5116,11322,100,75.4,24.6,100,72.1,27.9
US50005,"Caledonia County, Vermont",30233,15997,12654,3343,9271,100,79.1,20.9,100,73.3,26.7
US50007,"Chittenden County, Vermont",168323,73085,69052,4033,42866,100,94.5,5.5,100,62.1,37.9
US50009,"Essex County, Vermont",5920,4867,2695,2172,2158,100,55.4,44.6,100,80.1,19.9
US50011,"Franklin County, Vermont",49946,22642,19918,2724,14858,100,88,12,100,74.6,25.4
US50013,"Grand Isle County, Vermont",7293,5265,3170,2095,2641,100,60.2,39.8,100,83.3,16.7
US50015,"Lamoille County, Vermont",25945,13878,10994,2884,7763,100,79.2,20.8,100,70.6,29.4
US50017,"Orange County, Vermont",29277,14953,12364,2589,9732,100,82.7,17.3,100,78.7,21.3
US50019,"Orleans County, Vermont",27393,16376,11698,4678,8799,100,71.4,28.6,100,75.2,24.8
US50021,"Rutland County, Vermont",60572,33869,26651,7218,18686,100,78.7,21.3,100,70.1,29.9
US50023,"Washington County, Vermont",59807,30645,25842,4803,18158,100,84.3,15.7,100,70.3,29.7
