GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G0101110,US01111,Alabama,Randolph County,18331,20075,19881,22380,22913,21967,5887,7045,7553,8642,9164,8931
G0101130,US01113,Alabama,Russell County,45394,47356,46860,49756,52947,59183,13058,16252,17499,19741,21229,23997
G0101150,US01115,Alabama,St. Clair County,27956,41205,50009,64742,83593,91103,8312,13850,17666,24143,31624,34376
G0101170,US01117,Alabama,Shelby County,38037,66298,99358,143293,195085,223024,11125,21817,35985,54631,74072,84241
G0101190,US01119,Alabama,Sumter County,16974,16908,16174,14798,13763,12345,4660,5253,5545,5708,5629,5020
G0101210,US01121,Alabama,Talladega County,65280,73826,74107,80321,82291,82149,18861,24061,26448,30674,31890,33090
G0101230,US01123,Alabama,Tallapoosa County,33840,38676,38826,41475,41616,41311,10458,13275,14700,16656,16985,17376
G0101250,US01125,Alabama,Tuscaloosa County,116029,137541,150522,164875,194656,227036,32916,46820,55354,64517,76141,89962
G0101270,US01127,Alabama,Walker County,56246,68660,67670,70713,67023,65342,17697,23817,25554,28364,26571,26423
G0101290,US01129,Alabama,Washington County,16241,16821,16694,18097,17581,15388,4346,5272,5709,6705,6758,6321
G0101310,US01131,Alabama,Wilcox County,16303,14755,13568,13183,11670,10600,4211,4362,4415,4776,4484,4316
G0101330,US01133,Alabama,Winston County,16654,21953,22053,24843,24484,23540,5378,7718,8544,10107,10163,9845
G0200130,US02013,Alaska,Aleutians East Borough,,,2464,2697,3141,3420,,,533,526,553,483
G0200160,US02016,Alaska,Aleutians West Census Area,,,9478,5465,5561,5232,,,1845,1270,1212,902
G0200200,US02020,Alaska,Anchorage Municipality,124542,174431,226338,260283,291826,291247,34988,60470,82702,94822,107332,109343
G0200500,US02050,Alaska,Bethel Census Area,7579,10999,13656,16006,17013,18666,1435,2684,3605,4226,4651,4897
G0200600,US02060,Alaska,Bristol Bay Borough,1147,1094,1410,1258,997,844,192,246,407,490,423,357
G0200630,US02063,Alaska,Chugach Census Area,,,,,,7102,,,,,,2788
G0200660,US02066,Alaska,Copper River Census Area,,,,,,2617,,,,,,1134
G0200680,US02068,Alaska,Denali Borough,,,,1893,1826,1619,,,,785,806,748
G0200700,US02070,Alaska,Dillingham Census Area,,4616,4012,4922,4847,4857,,1214,1215,1529,1563,1558
G0200900,US02090,Alaska,Fairbanks North Star Borough,45864,53983,77720,82840,97581,95655,11590,18224,26693,29777,36441,36521
G0201000,US02100,Alaska,Haines Borough,1504,1680,2117,2392,2508,2080,424,572,791,991,1149,966
G0201050,US02105,Alaska,Hoonah-Angoon Census Area,,,,,2150,2365,,,,,913,979
G0201100,US02110,Alaska,Juneau City and Borough,13556,19528,26751,30711,31275,32255,4223,7035,9902,11543,12187,12940
G0201220,US02122,Alaska,Kenai Peninsula Borough,,25282,40802,49691,55400,58799,,8546,14250,18438,22161,23873
G0201300,US02130,Alaska,Ketchikan Gateway Borough,10041,11316,13828,14070,13477,13948,3006,3985,5030,5399,5305,5479
G0201500,US02150,Alaska,Kodiak Island Borough,9409,9939,13309,13913,13592,13101,2384,3027,4083,4424,4630,4612
G0201580,US02158,Alaska,Kusilvak Census Area,,,,,,8368,,,,,,1943
G0201640,US02164,Alaska,Lake and Peninsula Borough,,,1668,1823,1631,1476,,,509,588,553,543
G0201700,US02170,Alaska,Matanuska-Susitna Borough,6509,17816,39683,59322,88995,107081,1841,5699,13394,20556,31824,38380
G0201800,US02180,Alaska,Nome Census Area,5749,6537,8288,9196,9492,10046,1209,1741,2371,2693,2815,3030
G0201850,US02185,Alaska,North Slope Borough,,4199,5979,7385,9430,11031,,980,1673,2109,2029,2190
G0201880,US02188,Alaska,Northwest Arctic Borough,,,6113,7208,7523,7793,,,1526,1780,1919,2014
G0201950,US02195,Alaska,Petersburg Borough,,,,,3815,3398,,,,,1599,1367
G0201980,US02198,Alaska,Prince of Wales-Hyder Census Area,,,,,5559,5753,,,,,2194,2312
G0202200,US02220,Alaska,Sitka City and Borough,6109,7803,8588,8835,8881,8458,1767,2440,2939,3278,3545,3421
G0202300,US02230,Alaska,Skagway Municipality,2157,,,,968,1240,607,,,,436,531
G0202400,US02240,Alaska,Southeast Fairbanks Census Area,4179,5676,5913,6174,7029,6808,1027,1666,1909,2098,2567,2445
G0202750,US02275,Alaska,Wrangell City and Borough,,,,,2369,2127,,,,,1053,933
G0202820,US02282,Alaska,Yakutat City and Borough,,,,808,662,662,,,,265,270,265
G0202900,US02290,Alaska,Yukon-Koyukuk Census Area,4752,7873,8478,6551,5588,5343,1015,2280,2748,2309,2217,2194
G0400010,US04001,Arizona,Apache County,32298,52108,61591,69423,71518,66021,6832,12638,15981,19971,22771,22103
