GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G1301510,US13151,Georgia,Henry County,23724,36309,58741,119341,203922,240712,6531,11630,20012,41373,70255,82794
G1301530,US13153,Georgia,Houston County,62924,77605,89208,110765,139900,163633,17625,25509,32433,40911,53051,62115
G1301550,US13155,Georgia,Irwin County,8036,8988,8649,9931,9538,9666,2414,3013,3142,3644,3495,3617
G1301570,US13157,Georgia,Jackson County,21093,25343,30005,41589,60485,75907,6476,8619,10721,15057,21343,26174
G1301590,US13159,Georgia,Jasper County,5760,7553,8453,11426,13900,14588,1714,2553,3036,4175,5044,5412
G1301610,US13161,Georgia,Jeff Davis County,9425,11473,12032,12684,15068,14779,2781,3771,4357,4828,5689,5560
G1301630,US13163,Georgia,Jefferson County,17174,18403,17408,17266,16930,15709,4858,5946,6093,6339,6241,6170
G1301650,US13165,Georgia,Jenkins County,8332,8841,8247,8575,8340,8674,2452,2906,2951,3214,3192,3245
G1301670,US13167,Georgia,Johnson County,7727,8660,8329,8560,9980,9189,2304,2955,3010,3130,3347,3100
G1301690,US13169,Georgia,Jones County,12218,16579,20739,23639,28669,28347,3344,5270,7300,8659,10586,10623
G1301710,US13171,Georgia,Lamar County,10688,12215,13038,15912,18317,18500,3109,4010,4669,5712,6618,6897
G1301730,US13173,Georgia,Lanier County,5031,5654,5531,7241,10078,9877,1423,1822,1965,2593,3608,3570
G1301750,US13175,Georgia,Laurens County,32738,36990,39988,44874,48434,49570,9776,12447,14514,17083,18641,19501
G1301770,US13177,Georgia,Lee County,7044,11684,16250,24757,28298,33163,1879,3642,5199,8229,9706,11971
G1301790,US13179,Georgia,Liberty County,17569,37583,52745,61610,63453,65256,4563,9629,15136,19383,22155,23413
G1301810,US13181,Georgia,Lincoln County,5895,6716,7442,8348,7996,7690,1644,2185,2702,3251,3281,3245
G1301830,US13183,Georgia,Long County,3746,4524,6202,10304,14464,16168,1082,1536,2196,3574,5023,5492
G1301850,US13185,Georgia,Lowndes County,55112,67972,75981,92115,109233,118251,15945,22609,26311,32654,39747,44207
G1301870,US13187,Georgia,Lumpkin County,8728,10762,14573,21016,29966,33488,2362,3388,4976,7537,10989,11676
G1301890,US13189,Georgia,McDuffie County,15276,18546,20119,21231,21875,21632,4465,6270,7270,7970,8289,8589
G1301910,US13191,Georgia,McIntosh County,7371,8046,8634,10847,14333,10975,2069,2630,3186,4202,5971,4681
G1301930,US13193,Georgia,Macon County,12933,14003,13114,14074,14740,12082,3474,4371,4388,4834,4999,4299
G1301950,US13195,Georgia,Madison County,13517,17747,21050,25730,28120,30120,4159,6125,7740,9800,10508,11267
G1301970,US13197,Georgia,Marion County,5099,5297,5590,7144,8742,7498,1410,1687,1962,2668,3420,2969
G1301990,US13199,Georgia,Meriwether County,19461,21229,22411,22534,21992,20613,5470,6877,7637,8248,8522,8396
G1302010,US13201,Georgia,Miller County,6397,7038,6280,6383,6125,6000,1919,2405,2336,2487,2426,2537
G1302050,US13205,Georgia,Mitchell County,18956,21114,20275,23932,23498,21755,5343,6486,6798,8063,8055,8156
G1302070,US13207,Georgia,Monroe County,10991,14610,17113,21757,26424,27957,2967,4667,5838,7719,9662,10257
G1302090,US13209,Georgia,Montgomery County,6099,7011,7163,8270,9123,8610,1738,2214,2493,2919,3287,3157
G1302110,US13211,Georgia,Morgan County,9904,11572,12883,15457,17868,20097,2799,3663,4399,5558,6660,7534
G1302130,US13213,Georgia,Murray County,12986,19685,26147,36506,39628,39973,3863,6539,9363,13286,14080,14718
G1302150,US13215,Georgia,Muscogee County,167377,170108,179278,186291,189885,206922,52303,59112,65858,69819,74081,82360
G1302170,US13217,Georgia,Newton County,26282,34489,41808,62001,99958,112483,7603,10976,14401,21997,34390,39477
G1302190,US13219,Georgia,Oconee County,7915,12427,17618,26225,32808,41799,2489,4237,6156,9051,11622,14360
G1302210,US13221,Georgia,Oglethorpe County,7598,8929,9763,12635,14899,14825,2174,2947,3581,4849,5647,5803
G1302230,US13223,Georgia,Paulding County,17520,26110,41611,81678,142324,168661,5188,8745,14326,28089,48105,56911
G1302250,US13225,Georgia,Peach County,15990,19151,21189,23668,27695,27981,4245,6180,7142,8436,9958,10693
G1302270,US13227,Georgia,Pickens County,9620,11652,14432,22983,29431,33216,2934,4161,5386,8960,11291,13120
G1302290,US13229,Georgia,Pierce County,9281,11897,13328,15636,18758,19716,2733,3928,4807,5958,7083,7506
G1302310,US13231,Georgia,Pike County,7316,8937,10224,13688,17869,18889,2079,2842,3526,4755,6187,6630
G1302330,US13233,Georgia,Polk County,29656,32386,33815,38127,41475,42853,9316,11413,12519,14012,15092,15999
G1302350,US13235,Georgia,Pulaski County,8066,8950,8108,9588,12010,9855,2540,3067,3098,3407,4475,3595
G1302370,US13237,Georgia,Putnam County,8394,10295,14137,18812,21218,22047,2300,3398,5229,7402,8601,9181
G1302390,US13239,Georgia,Quitman County,2180,2357,2209,2598,2513,2235,588,772,857,1047,1053,998
G1302410,US13241,Georgia,Rabun County,8327,10466,11648,15050,16276,16883,2685,3891,4630,6279,6780,7313
G1302430,US13243,Georgia,Randolph County,8734,9599,8023,7791,7719,6425,2623,3126,2815,2909,3187,2690
G1302450,US13245,Georgia,Richmond County,162437,181629,189719,199775,200549,206607,44464,59501,68675,73920,76924,82363
G1302470,US13247,Georgia,Rockdale County,18152,36747,54091,70111,85215,93570,5199,11592,18337,24052,30027,33114
G1302490,US13249,Georgia,Schley County,3097,3433,3588,3766,5010,4547,908,1125,1315,1435,1872,1753
G1302510,US13251,Georgia,Screven County,12591,14043,13842,15374,14593,14067,3749,4769,5048,5797,5596,5646
G1302530,US13253,Georgia,Seminole County,7059,9057,9010,9369,8729,9147,2117,3051,3137,3573,3509,3798
G1302550,US13255,Georgia,Spalding County,39514,47899,54457,58417,64073,67306,12199,16177,19426,21519,23565,25726
G1302570,US13257,Georgia,Stephens County,20331,21763,23257,25435,26175,26784,6459,7787,8949,9951,10289,10618
G1302590,US13259,Georgia,Stewart County,6511,5896,5654,5252,6058,5314,1782,1891,1982,2007,1862,1674
G1302610,US13261,Georgia,Sumter County,26931,29360,30228,33200,32819,29616,7613,9465,10484,12025,12123,11658
G1302630,US13263,Georgia,Talbot County,6625,6536,6524,6498,6865,5733,1737,2086,2345,2538,2832,2524
G1302650,US13265,Georgia,Taliaferro County,2423,2032,1915,2077,1717,1559,761,758,727,870,759,699
G1302670,US13267,Georgia,Tattnall County,16557,18134,17722,22305,25520,22842,4224,5590,5845,7057,8210,7829
G1302690,US13269,Georgia,Taylor County,7865,7902,7642,8815,8906,7816,2268,2653,2804,3281,3522,3249
G1302710,US13271,Georgia,Telfair County,11381,11445,11000,11794,16500,12477,3401,3907,4017,4140,5543,3924
G1302730,US13273,Georgia,Terrell County,11416,12017,10653,10970,9315,9185,3256,3839,3738,4002,3519,3664
G1302750,US13275,Georgia,Thomas County,34515,38098,38986,42737,44720,45798,10112,12789,14323,16309,17573,18440
G1302770,US13277,Georgia,Tift County,27288,32862,34998,38407,40118,41344,7877,10737,12184,13919,14836,15921
G1302790,US13279,Georgia,Toombs County,19151,22592,24072,26067,27223,27030,5761,7672,8804,9877,10375,10505
G1302810,US13281,Georgia,Towns County,4565,5638,6754,9319,10471,12493,1411,2024,2812,3998,4510,5473
G1302830,US13283,Georgia,Treutlen County,5647,6087,5994,6854,6885,6406,1683,2073,2158,2531,2543,2449
G1302850,US13285,Georgia,Troup County,44466,50003,55536,58779,67044,69426,14012,17455,20371,21920,24828,26317
G1302870,US13287,Georgia,Turner County,8790,9510,8703,9504,8930,9006,2611,3078,3043,3435,3339,3512
G1302890,US13289,Georgia,Twiggs County,8222,9354,9806,10590,9023,8022,2081,2812,3296,3832,3634,3387
G1302910,US13291,Georgia,Union County,6811,9390,11993,17289,21356,24632,2174,3369,4709,7159,9116,10607
G1302930,US13293,Georgia,Upson County,23505,25998,26300,27597,27153,27700,7382,9170,9911,10722,10716,11173
G1302950,US13295,Georgia,Walker County,50691,56470,58340,61053,68756,67654,15636,19634,21697,23605,26497,26206
G1302970,US13297,Georgia,Walton County,23404,31211,38586,60687,83768,96673,6741,10006,13433,21307,29583,33924
G1302990,US13299,Georgia,Ware County,33525,37180,35471,35483,36312,36251,10390,12788,13046,13475,13654,13651
G1303010,US13301,Georgia,Warren County,6669,6583,6078,6336,5834,5215,1789,2110,2130,2435,2315,2159
G1303030,US13303,Georgia,Washington County,17480,18842,19112,21176,21187,19988,5010,6076,6739,7435,7547,7506
G1303050,US13305,Georgia,Wayne County,17858,20750,22356,26565,30099,30144,5273,6879,7922,9324,10562,11141
G1303070,US13307,Georgia,Webster County,2362,2341,2263,2390,2799,2348,641,756,798,911,1119,991
G1303090,US13309,Georgia,Wheeler County,4596,5155,4903,6179,7421,7471,1385,1733,1786,2011,2152,2054
G1303110,US13311,Georgia,White County,7742,10120,13006,19944,27144,28003,2345,3499,4907,7731,10646,10942
G1303130,US13313,Georgia,Whitfield County,55108,65789,72462,83525,102599,102864,16611,22466,26859,29385,35180,36134
G1303150,US13315,Georgia,Wilcox County,6998,7682,7008,8577,9255,8766,2147,2596,2511,2785,2891,2811
G1303170,US13317,Georgia,Wilkes County,10184,10951,10597,10687,10593,9565,3195,3880,4022,4314,4263,4098
G1303190,US13319,Georgia,Wilkinson County,9393,10368,10228,10220,9563,8877,2702,3350,3619,3827,3666,3588
G1303210,US13321,Georgia,Worth County,14770,18064,19745,21967,21679,20784,4224,5811,6895,8106,8214,8183
G1500010,US15001,Hawaii,Hawaii County,63468,92053,120317,148677,185079,200629,17260,29237,41461,52985,67096,73021
G1500030,US15003,Hawaii,Honolulu County,629176,762565,836231,876156,953207,1016508,164763,230214,265304,286450,311047,336412
G1500050,US15005,Hawaii,Kalawao County,,144,130,147,90,82,,71,62,115,69,59
G1500070,US15007,Hawaii,Kauai County,29761,39082,51177,58463,67091,73298,8282,12020,16295,20183,23240,24712
G1500090,US15009,Hawaii,Maui County,46156,70847,100374,128094,154834,164754,12783,22510,33145,43507,53886,56063
G1600010,US16001,Idaho,Ada County,112230,173036,205775,300904,392365,494967,35834,63139,77471,113408,148445,187488
G1600030,US16003,Idaho,Adams County,2877,3347,3254,3476,3976,4379,944,1212,1251,1421,1748,1927
G1600050,US16005,Idaho,Bannock County,52200,65421,66026,75565,82839,87018,15610,22489,23412,27192,30682,32438
G1600070,US16007,Idaho,Bear Lake County,5801,6931,6084,6411,5986,6372,1791,2211,2005,2259,2281,2427
G1600090,US16009,Idaho,Benewah County,6230,8292,7937,9171,9285,9530,2053,2932,2991,3580,3837,3875
G1600110,US16011,Idaho,Bingham County,29167,36489,37583,41735,45607,47992,7770,10772,11513,13317,14999,15891
G1600130,US16013,Idaho,Blaine County,5749,9841,13552,18991,21376,24272,1977,3978,5506,7780,8823,10225
G1600150,US16015,Idaho,Boise County,1763,2999,3509,6670,7028,7610,596,1107,1357,2616,2974,3364
G1600170,US16017,Idaho,Bonner County,15560,24163,26622,36835,40877,47110,5146,8814,10269,14693,17100,19619
G1600190,US16019,Idaho,Bonneville County,51250,65980,72207,82522,104234,123964,14617,21307,24289,28753,36629,42684
G1600210,US16021,Idaho,Boundary County,6371,7289,8332,9871,10972,12056,1999,2479,2857,3707,4421,4763
G1600230,US16023,Idaho,Butte County,2925,3342,2918,2899,2891,2574,848,1072,997,1089,1129,1061
G1600250,US16025,Idaho,Camas County,728,818,727,991,1117,1077,239,291,275,396,487,486
G1600270,US16027,Idaho,Canyon County,61288,83756,90076,131441,188923,231105,19238,28458,31288,45018,63604,77829
G1600290,US16029,Idaho,Caribou County,6534,8695,6963,7304,6963,7027,1837,2674,2262,2560,2606,2629
G1600310,US16031,Idaho,Cassia County,17017,19427,19532,21416,22952,24655,4936,6119,6373,7060,7666,8216
G1600330,US16033,Idaho,Clark County,741,798,762,1022,982,790,218,262,277,340,345,316
G1600350,US16035,Idaho,Clearwater County,10871,10390,8505,8930,8761,8734,3350,3636,3213,3456,3660,3634
G1600370,US16037,Idaho,Custer County,2967,3385,4133,4342,4368,4275,952,1237,1561,1770,1936,1948
G1600390,US16039,Idaho,Elmore County,17479,21565,21205,29130,27038,28666,4758,6832,7136,9092,10140,10663
G1600410,US16041,Idaho,Franklin County,7373,8895,9232,11329,12786,14194,2182,2662,2824,3476,4079,4601
G1600430,US16043,Idaho,Fremont County,8710,10813,10937,11819,13242,13388,2487,3277,3453,3885,4436,4688
G1600450,US16045,Idaho,Gem County,9387,11972,11844,15181,16719,19123,2993,4219,4424,5539,6495,7199
G1600470,US16047,Idaho,Gooding County,8645,11874,11633,14155,15464,15598,2818,4143,4320,5046,5531,5647
G1600490,US16049,Idaho,Idaho County,12891,14769,13783,15511,16267,16541,3845,5150,5187,6084,6834,7006
G1600510,US16051,Idaho,Jefferson County,11619,15304,16543,19155,26140,30891,3201,4437,4871,5901,8146,9581
G1600530,US16053,Idaho,Jerome County,10253,14840,15138,18342,22374,24237,3289,5084,5325,6298,7540,8098
G1600550,US16055,Idaho,Kootenai County,35332,59770,69795,108685,138494,171362,11561,21404,26942,41308,54200,67278
G1600570,US16057,Idaho,Latah County,24891,28749,30617,34935,37244,39517,7676,10256,11229,13059,14708,16063
G1600590,US16059,Idaho,Lemhi County,5566,7460,6899,7806,7936,7974,1823,2681,2769,3275,3576,3651
G1600610,US16061,Idaho,Lewis County,3867,4118,3516,3747,3821,3533,1246,1510,1393,1554,1657,1528
G1600630,US16063,Idaho,Lincoln County,3057,3436,3308,4044,5208,5127,936,1185,1191,1447,1705,1785
G1600650,US16065,Idaho,Madison County,13452,19480,23674,27467,37536,52913,2952,5009,5801,7129,10611,12700
G1600670,US16067,Idaho,Minidoka County,15731,19718,19361,20174,20069,21613,4428,6192,6472,6973,7170,7654
G1600690,US16069,Idaho,Nez Perce County,30376,33220,33754,37410,39265,42090,9973,12490,13618,15286,16241,17231
G1600710,US16071,Idaho,Oneida County,2864,3258,3492,4125,4286,4564,955,1094,1159,1430,1545,1694
G1600730,US16073,Idaho,Owyhee County,6422,8272,8392,10644,11526,11913,1872,2646,2820,3710,4076,4232
G1600750,US16075,Idaho,Payette County,12401,15722,16434,20578,22623,25386,4145,5576,6040,7371,8262,9223
G1600770,US16077,Idaho,Power County,4864,6844,7086,7538,7817,7878,1428,2195,2370,2560,2641,2689
G1600790,US16079,Idaho,Shoshone County,19718,19226,13931,13771,12765,13169,6340,6870,5691,5906,5605,5836
G1600810,US16081,Idaho,Teton County,2351,2897,3439,5999,10170,11630,650,891,1123,2078,3651,4360
G1600830,US16083,Idaho,Twin Falls County,41807,52927,53580,64284,77230,90046,13717,18888,19737,23853,28760,32761
G1600850,US16085,Idaho,Valley County,3609,5604,6109,7651,9862,11746,1150,2063,2404,3208,4393,5131
G1600870,US16087,Idaho,Washington County,7633,8803,8550,9977,10198,10500,2580,3164,3257,3762,4034,4087
G1700010,US17001,Illinois,Adams County,70861,71622,66090,68277,67103,65737,23105,26423,25515,26860,27375,27313
G1700030,US17003,Illinois,Alexander County,12015,12264,10626,9590,8238,5240,4348,4754,4234,3808,3329,2384
G1700050,US17005,Illinois,Bond County,14012,16224,14991,17633,17768,16725,4581,5839,5652,6155,6427,6164
G1700070,US17007,Illinois,Boone County,25440,28630,30806,41786,54165,53448,7778,9714,10950,14597,18505,19109
G1700090,US17009,Illinois,Brown County,5586,5411,5836,6950,6937,6244,1947,2099,1991,2108,2099,1959
G1700110,US17011,Illinois,Bureau County,38541,39114,35688,35503,34978,33244,12525,14252,13790,14182,14262,14179
G1700130,US17013,Illinois,Calhoun County,5675,5867,5322,5084,5089,4437,1894,2094,2048,2046,2085,1831
G1700150,US17015,Illinois,Carroll County,19276,18779,16805,16674,15387,15702,6360,6960,6638,6794,6622,6504
G1700170,US17017,Illinois,Cass County,14219,15084,13437,13695,13642,13042,4832,5658,5195,5347,5270,5099
G1700190,US17019,Illinois,Champaign County,163281,168392,173025,179669,201081,205865,47361,58405,63900,70597,80665,84419
G1700210,US17021,Illinois,Christian County,35948,36446,34418,35372,34800,34032,12108,13685,13591,13921,14055,13721
G1700230,US17023,Illinois,Clark County,16216,16913,15921,17008,16335,15455,5699,6485,6394,6971,6782,6506
G1700250,US17025,Illinois,Clay County,14735,15283,14460,14560,13815,13288,5168,5800,5708,5839,5697,5506
G1700270,US17027,Illinois,Clinton County,28315,32617,33944,35535,37762,36899,7987,10768,11583,12754,14005,14258
G1700290,US17029,Illinois,Coles County,47815,52260,51644,53196,53873,46863,15240,18617,18957,21043,21463,19861
G1700310,US17031,Illinois,Cook County,5492369,5253655,5105067,5376741,5194675,5275541,1766035,1879117,1879488,1974181,1966356,2086940
G1700330,US17033,Illinois,Crawford County,19824,20818,19464,20452,19817,18679,7124,8050,7792,7842,7763,7471
G1700350,US17035,Illinois,Cumberland County,9772,11062,10670,11253,11048,10450,3221,4001,4029,4368,4377,4276
G1700370,US17037,Illinois,DeKalb County,71654,74624,77932,88969,105160,100420,19646,24353,26413,31674,38484,38487
G1700390,US17039,Illinois,De Witt County,16975,18108,16516,16798,16561,15516,5857,6841,6488,6770,6811,6620
G1700410,US17041,Illinois,Douglas County,18997,19774,19464,19922,19980,19740,6185,7195,7206,7574,7720,7749
G1700430,US17043,Illinois,DuPage County,491882,658835,781666,904161,916924,932877,136251,222014,279344,325601,337132,348216
G1700450,US17045,Illinois,Edgar County,21591,21725,19595,19704,18576,16866,7566,8332,7859,7874,7839,7246
G1700470,US17047,Illinois,Edwards County,7090,7961,7440,6971,6721,6245,2571,3106,3016,2905,2840,2694
G1700490,US17049,Illinois,Effingham County,24608,30944,31704,34264,34242,34668,7584,10637,11465,13001,13515,14117
G1700510,US17051,Illinois,Fayette County,20752,22167,20893,21802,22140,21488,6835,7987,7719,8146,8311,7935
G1700530,US17053,Illinois,Ford County,16382,15265,14275,14241,14081,13534,5402,5739,5602,5639,5676,5638
G1700550,US17055,Illinois,Franklin County,38329,43201,40319,39018,39561,37804,14356,16978,16564,16408,16617,16251
G1700570,US17057,Illinois,Fulton County,41890,43687,38080,38250,37069,33609,14403,16274,14893,14877,14536,14025
G1700590,US17059,Illinois,Gallatin County,7418,7590,6909,6445,5589,4946,2545,2828,2784,2726,2403,2150
G1700610,US17061,Illinois,Greene County,17014,16661,15317,14761,13886,11985,5783,6193,5910,5757,5570,5041
G1700630,US17063,Illinois,Grundy County,26535,30582,32337,37535,50063,52533,8317,10770,11979,14293,18546,20038
G1700650,US17065,Illinois,Hamilton County,8665,9172,8499,8621,8457,7993,3183,3641,3476,3462,3489,3328
G1700670,US17067,Illinois,Hancock County,23645,23877,21373,20121,19104,17620,7907,8876,8409,8069,8040,7556
G1700690,US17069,Illinois,Hardin County,4914,5383,5189,4800,4320,3649,1762,2080,2049,1987,1915,1701
G1700710,US17071,Illinois,Henderson County,8451,9114,8096,8213,7331,6387,2800,3376,3237,3365,3149,2834
G1700730,US17073,Illinois,Henry County,53217,57968,51159,51020,50486,49284,17226,20527,19514,20056,20373,20320
G1700750,US17075,Illinois,Iroquois County,33532,32976,30787,31334,29718,27077,10886,12060,11788,12220,11956,11160
G1700770,US17077,Illinois,Jackson County,55008,61522,61067,59612,60218,52974,16143,22558,23466,24215,25538,23193
G1700790,US17079,Illinois,Jasper County,10741,11318,10609,10117,9698,9287,3458,4000,3962,3930,3940,3801
G1700810,US17081,Illinois,Jefferson County,31446,36552,37020,40045,38827,37113,10806,13963,14606,15374,15365,14945
G1700830,US17083,Illinois,Jersey County,18492,20538,20539,21668,22985,21512,5546,6817,7344,8096,8828,8652
G1700850,US17085,Illinois,Jo Daviess County,21766,23520,21821,22289,22678,22035,6724,8328,8371,9218,9753,9827
G1700870,US17087,Illinois,Johnson County,7550,9624,11347,12878,12582,13308,2558,3302,3725,4183,4584,4577
G1700890,US17089,Illinois,Kane County,251005,278405,317471,404119,515269,516522,74642,93729,107176,133901,170479,180374
G1700910,US17091,Illinois,Kankakee County,97250,102926,96255,103833,113449,107502,27942,34930,34623,38182,41511,41528
G1700930,US17093,Illinois,Kendall County,26374,37202,39413,54544,114736,131869,7485,12042,13301,18798,38022,43534
G1700950,US17095,Illinois,Knox County,61280,61607,56393,55836,52919,49967,20081,22837,21909,22056,21535,20851
G1700970,US17097,Illinois,Lake County,382638,440372,516418,644356,703462,714342,102947,139715,173966,216297,241712,253386
G1700990,US17099,Illinois,LaSalle County,111409,112033,106913,111509,113924,109658,35767,40970,41284,43417,45347,45203
G1701010,US17101,Illinois,Lawrence County,17522,17807,15972,15452,16833,15280,5993,6754,6320,6309,6130,5571
G1701030,US17103,Illinois,Lee County,37947,36328,34392,36062,36031,34145,10940,12649,12475,13253,13758,13589
G1701050,US17105,Illinois,Livingston County,40690,41381,39301,39678,38950,35815,12426,14077,13737,14374,14613,14396
G1701070,US17107,Illinois,Logan County,33538,31802,30798,31183,30305,27987,10099,11290,11033,11113,11070,10749
G1701090,US17109,Illinois,McDonough County,36653,37467,35244,32913,32612,27238,10265,12523,12255,12360,13057,11479
G1701110,US17111,Illinois,McHenry County,111555,147897,183241,260077,308760,310229,33083,49078,62940,89403,109199,114282
G1701130,US17113,Illinois,McLean County,104389,119149,129180,150433,169572,170954,31874,41702,46796,56746,65104,69096
G1701150,US17115,Illinois,Macon County,125010,131375,117206,114706,110768,103998,40808,48294,45996,46561,45855,44549
G1701170,US17117,Illinois,Macoupin County,44557,49384,47679,49019,47765,44967,14920,18167,18176,19253,19381,18804
G1701190,US17119,Illinois,Madison County,250934,247691,249238,258941,269282,265859,78470,89006,94857,101953,108094,108607
G1701210,US17121,Illinois,Marion County,38986,43523,41561,41691,39437,37729,13502,16437,16272,16619,16148,15620
G1701230,US17123,Illinois,Marshall County,13302,14479,12846,13180,12640,11742,4358,5178,4900,5225,5161,4982
G1701250,US17125,Illinois,Mason County,16161,19492,16269,16038,14666,13086,5637,7210,6342,6389,6079,5657
G1701270,US17127,Illinois,Massac County,13889,14990,14752,15161,15429,14169,4889,5731,5908,6261,6362,5871
G1701290,US17129,Illinois,Menard County,9685,11700,11164,12486,12705,12297,3252,4197,4199,4873,5140,5103
G1701310,US17131,Illinois,Mercer County,17294,19286,17290,16957,16434,15699,5572,6786,6572,6624,6734,6578
G1701330,US17133,Illinois,Monroe County,18831,20117,22422,27619,32957,34962,5757,7013,8189,10275,12589,13752
G1701350,US17135,Illinois,Montgomery County,30260,31686,30728,30652,30104,28288,10362,11963,11480,11507,11652,11155
G1701370,US17137,Illinois,Morgan County,36174,37502,36397,36616,35547,32915,11368,13623,13678,14039,14104,13511
G1701390,US17139,Illinois,Moultrie County,13263,14546,13930,14287,14846,14526,4234,5148,5122,5405,5758,5662
G1701410,US17141,Illinois,Ogle County,42867,46338,45957,51032,53497,51788,13454,16311,17132,19278,20856,20870
G1701430,US17143,Illinois,Peoria County,195318,200466,182827,183433,186494,181830,63323,73329,70797,72733,75793,75808
G1701450,US17145,Illinois,Perry County,19757,21714,21412,23094,22350,20945,6849,8137,8306,8504,8335,8014
G1701470,US17147,Illinois,Piatt County,15509,16581,15548,16365,16729,16673,5108,5939,5934,6475,6782,6818
G1701490,US17149,Illinois,Pike County,19185,18896,17577,17384,16430,14739,6762,7319,7016,6876,6639,6138
G1701510,US17151,Illinois,Pope County,3857,4404,4373,4413,4470,3763,1296,1549,1611,1769,1829,1694
G1701530,US17153,Illinois,Pulaski County,8741,8840,7523,7348,6161,5193,2992,3310,2957,2893,2642,2268
G1701550,US17155,Illinois,Putnam County,5007,6085,5730,6086,6006,5637,1637,2155,2204,2415,2509,2426
G1701570,US17157,Illinois,Randolph County,31379,35652,34583,33893,33476,30163,9553,11833,11949,12084,12314,11693
G1701590,US17159,Illinois,Richland County,16829,17587,16545,16149,16233,15813,5592,6721,6503,6660,6726,6621
G1701610,US17161,Illinois,Rock Island County,166734,165968,148723,149374,147546,144672,53587,61052,59317,60712,61303,60735
G1701630,US17163,Illinois,St. Clair County,285176,267531,262852,256082,270056,257400,86347,90980,95333,96810,105045,103134
G1701650,US17165,Illinois,Saline County,25721,28448,26551,26733,24913,23768,9550,11250,10839,10992,10379,9996
G1701670,US17167,Illinois,Sangamon County,161335,176089,178386,188951,197465,196343,54374,68022,72146,78722,82986,84403
G1701690,US17169,Illinois,Schuyler County,8135,8365,7498,7189,7544,6902,2840,3182,3002,2975,3040,2807
G1701710,US17171,Illinois,Scott County,6096,6142,5644,5537,5355,4949,2070,2302,2190,2222,2214,2102
G1701730,US17173,Illinois,Shelby County,22589,23923,22261,22893,22363,20990,7513,8707,8563,9056,9216,8914
G1701750,US17175,Illinois,Stark County,7510,7389,6534,6332,5994,5400,2472,2653,2512,2525,2425,2226
G1701770,US17177,Illinois,Stephenson County,48861,49536,48052,48979,47711,44630,15931,18439,18920,19785,19845,19184
G1701790,US17179,Illinois,Tazewell County,118649,132078,123692,128485,135394,131343,36474,46383,47171,50327,54146,53985
G1701810,US17181,Illinois,Union County,16071,17765,17619,18293,17808,17244,5442,6647,6838,7290,7167,6983
G1701830,US17183,Illinois,Vermilion County,97047,95222,88257,83919,81625,74188,32040,35371,34072,33406,32655,30568
G1701850,US17185,Illinois,Wabash County,12841,13713,13111,12937,11947,11361,4390,5160,5032,5192,5012,4670
G1701870,US17187,Illinois,Warren County,21595,21943,19181,18735,17707,16835,6938,7887,7393,7166,6918,6720
G1701890,US17189,Illinois,Washington County,13780,15472,14965,15148,14716,13761,4707,5606,5658,5848,5926,5723
G1701910,US17191,Illinois,Wayne County,17004,18059,17241,17151,16760,16179,6058,6979,6935,7143,7102,6774
G1701930,US17193,Illinois,White County,17312,17864,16522,15371,14665,13877,6197,7047,6845,6534,6313,5846
G1701950,US17195,Illinois,Whiteside County,62877,65970,60186,60653,58498,55691,19363,23200,22740,23684,23740,23556
G1701970,US17197,Illinois,Will County,249498,324460,357313,502266,677560,696355,70688,103071,116933,167542,225256,240009
G1701990,US17199,Illinois,Williamson County,49021,56538,57733,61296,66357,67153,17252,21825,23120,25358,27421,28145
G1702010,US17201,Illinois,Winnebago County,246623,250884,252913,278418,295266,285350,76716,89408,96727,107980,115501,115459
G1702030,US17203,Illinois,Woodford County,28012,33320,32653,35469,38664,38467,8337,11055,11395,12797,14276,14616
G1800010,US18001,Indiana,Adams County,26871,29619,31095,33625,34387,35809,7982,9625,10470,11818,12011,12386
G1800030,US18003,Indiana,Allen County,280455,294335,300836,331849,355329,385410,85720,104403,113333,128745,137851,151690
G1800050,US18005,Indiana,Bartholomew County,57022,65088,63657,71435,76794,82208,17414,22804,24192,27936,29860,32607
G1800070,US18007,Indiana,Benton County,11262,10218,9441,9421,8854,8719,3467,3653,3524,3558,3479,3408
G1800090,US18009,Indiana,Blackford County,15888,15570,14067,14048,12766,12112,5159,5577,5436,5690,5236,5179
G1800110,US18011,Indiana,Boone County,30870,36446,38147,46107,56640,70812,9878,12647,13922,17081,21149,26593
G1800130,US18013,Indiana,Brown County,9057,12377,14080,14957,15242,15475,2827,4432,5370,5897,6199,6557
G1800150,US18015,Indiana,Carroll County,17734,19722,18809,20165,20155,20306,5793,6991,7067,7718,7900,8125
G1800170,US18017,Indiana,Cass County,40456,40936,38413,40930,38966,37870,12990,14715,14659,15715,14858,14900
G1800190,US18019,Indiana,Clark County,75876,88838,87777,96472,110232,121093,23249,31021,33292,38751,44248,48778
G1800210,US18021,Indiana,Clay County,23933,24862,24705,26556,26890,26466,8283,9232,9382,10216,10447,10614
G1800230,US18023,Indiana,Clinton County,30547,31545,30974,33866,33224,33190,10159,11325,11450,12545,12105,12421
G1800250,US18025,Indiana,Crawford County,8033,9820,9914,10743,10713,10526,2643,3462,3660,4181,4303,4330
